team,match,alliance,shelf,balls,hatches,climb,climb_assist_a,climb_assist_b,climb_was_assisted
2930,40,RED,1,6,3,P3,0,0,0
2903,41,RED,1,0,5,P6,0,0,0
2903,41,RED,0,1,1,P3,0,0,0
2605,41,RED,0,0,5,NULL,0,0,0
2605,41,RED,1,1,1,P3,0,0,0
4682,41,RED,1,0,5,P3,0,0,0
4682,41,RED,0,1,1,P3,0,0,0
2928,42,RED,1,4,2,P3,0,0,0
2928,42,RED,1,5,1,P3,0,0,0
4469,42,RED,0,4,2,P3,0,0,0
4469,42,RED,0,5,1,P12,0,0,0
3812,42,RED,0,4,2,NULL,0,0,0
3812,42,RED,1,5,1,P3,0,0,0
3219,43,RED,0,1,4,P3,0,0,0
3219,43,RED,0,0,0,NULL,0,0,0
4180,43,RED,0,1,4,P12,0,0,0
4180,43,RED,1,0,0,P3,0,0,0
5683,43,RED,1,1,4,P6,0,0,0
5683,43,RED,0,0,0,P3,0,0,0
3786,44,RED,0,1,1,P3,0,0,0
3786,44,RED,1,2,1,P3,0,0,0
1778,44,RED,1,1,1,P12,0,0,0
1778,44,RED,0,2,1,P3,0,0,0
3826,44,RED,1,1,1,P3,0,0,0
3826,44,RED,0,2,1,NULL,0,0,0
1983,45,RED,1,1,4,P3,0,0,0
1983,45,RED,1,3,5,P3,0,0,0
4173,45,RED,0,1,4,P3,0,0,0
4173,45,RED,0,3,5,P6,0,0,0
2910,45,RED,1,1,4,P12,0,0,0
2910,45,RED,0,3,5,P12,0,0,0
4513,46,RED,1,2,4,P3,0,0,0
4513,46,RED,0,1,3,NULL,0,0,0
4089,46,RED,0,2,4,P3,0,0,0
4089,46,RED,0,1,3,P3,0,0,0
2605,46,RED,0,2,4,P3,0,0,0
2605,46,RED,0,1,3,P6,0,0,0
1318,47,RED,1,3,3,P12,0,0,0
1318,47,RED,0,5,5,P6,0,0,0
2980,47,RED,0,3,3,P3,0,0,0
2980,47,RED,0,5,5,P3,0,0,0
4173,47,RED,0,3,3,P3,0,0,0
4173,47,RED,1,5,5,P3,0,0,0
360,48,RED,1,1,1,P3,0,0,0
360,48,RED,1,1,2,P12,0,0,0
3238,48,RED,0,1,1,P3,0,0,0
3238,48,RED,0,1,2,P3,0,0,0
2928,48,RED,1,1,1,P6,0,0,0
2928,48,RED,1,1,2,NULL,0,0,0
4512,49,RED,0,4,5,NULL,0,0,0
4512,49,RED,0,3,3,P3,0,0,0
5295,49,RED,1,4,5,P12,0,0,0
5295,49,RED,1,3,3,P3,0,0,0
4469,49,RED,0,4,5,P3,0,0,0
4469,49,RED,1,3,3,P12,0,0,0
4579,5,RED,0,1,0,NULL,0,0,0
4579,5,RED,0,1,1,P3,0,0,0
3786,5,RED,1,1,0,P3,0,0,0
3786,5,RED,0,1,1,NULL,0,0,0
2980,5,RED,0,1,0,NULL,0,0,0
2980,5,RED,0,1,1,P3,0,0,0
2910,50,RED,0,0,1,NULL,0,0,0
2910,50,RED,0,5,5,P12,0,0,0
3049,50,RED,0,0,1,NULL,0,0,0
3049,50,RED,0,5,5,P3,0,0,0
3268,50,RED,0,0,1,P3,0,0,0
3268,50,RED,1,5,5,P3,0,0,0
3812,51,RED,1,3,1,P3,0,0,0
3812,51,RED,1,4,2,P3,0,0,0
4579,51,RED,0,3,1,NULL,0,0,0
4579,51,RED,0,4,2,P3,0,0,0
3663,51,RED,1,3,1,P12,0,0,0
3663,51,RED,1,4,2,P3,0,0,0
2980,52,RED,0,2,2,NULL,0,0,0
2980,52,RED,1,5,4,P3,0,0,0
2930,52,RED,1,2,2,P3,0,0,0
2930,52,RED,0,5,4,P6,0,0,0
3238,52,RED,0,2,2,NULL,0,0,0
3238,52,RED,1,5,4,P3,0,0,0
360,53,RED,1,0,1,P3,0,0,0
360,53,RED,1,1,0,P12,0,0,0
4173,53,RED,1,0,1,P3,0,0,0
4173,53,RED,1,1,0,NULL,0,0,0
1778,53,RED,0,0,1,P3,0,0,0
1778,53,RED,0,1,0,NULL,0,0,0
4089,54,RED,0,5,2,P3,0,0,0
4089,54,RED,0,1,3,P12,0,0,0
2903,54,RED,1,5,2,P3,0,0,0
2903,54,RED,0,1,3,P3,0,0,0
4579,54,RED,0,5,2,P3,0,0,0
4579,54,RED,0,1,3,P3,0,0,0
4180,55,RED,0,1,3,P3,0,0,0
4180,55,RED,1,1,1,NULL,0,0,0
4513,55,RED,1,1,3,P6,0,0,0
4513,55,RED,0,1,1,P3,0,0,0
4469,55,RED,1,1,3,P6,0,0,0
4469,55,RED,1,1,1,P12,0,0,0
3812,56,RED,1,5,5,NULL,0,0,0
3812,56,RED,1,5,2,P6,0,0,0
5295,56,RED,1,5,5,P3,0,0,0
5295,56,RED,0,5,2,P3,0,0,0
5803,56,RED,0,5,5,P12,0,0,0
5803,56,RED,1,5,2,P3,0,0,0
1318,57,RED,1,1,2,P12,0,0,0
1318,57,RED,0,3,2,NULL,0,0,0
4683,57,RED,0,1,2,P3,0,0,0
4683,57,RED,1,3,2,P3,0,0,0
4513,57,RED,1,1,2,P3,0,0,0
4513,57,RED,0,3,2,P3,0,0,0
